Título,Autor,Revista,Año,Editorial,URL,Citas
A survey of complex-valued neural networks,"J Bassey, L Qian, X Li - arXiv preprint arXiv:2101.12249, 2021 - arxiv.org",Sin revista,Sin año,arxiv.org,https://arxiv.org/abs/2101.12249,Citado por 87
[HTML][HTML] Ensemble learning of diffractive optical networks,"MSS Rahman, J Li, D Mengu, Y Rivenson… - Light: Science & …, 2021 - nature.com",Sin revista,Sin año,nature.com,https://www.nature.com/articles/s41377-020-00446-w,Citado por 82
Deep learning in glaucoma with optical coherence tomography: a review,"AR Ran, CC Tham, PP Chan, CY Cheng, YC Tham… - Eye, 2021 - nature.com",Sin revista,Sin año,nature.com,https://www.nature.com/articles/s41433-020-01191-5,Citado por 69
Machine learning applications in power system fault diagnosis: Research advancements and perspectives,"R Vaish, UD Dwivedi, S Tewari, SM Tripathi - Engineering Applications of …, 2021 - Elsevier",Sin revista,Sin año,Elsevier,https://www.sciencedirect.com/science/article/pii/S0952197621003523,Citado por 50
Machine learning activation energies of chemical reactions,"T Lewis‐Atwell, PA Townsend… - Wiley Interdisciplinary …, 2022 - Wiley Online Library",Sin revista,Sin año,Wiley Online Library,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wcms.1593,Citado por 30
"[HTML][HTML] Deep learning for manufacturing sustainability: Models, applications in Industry 4.0 and implications","A Jamwal, R Agrawal, M Sharma - International Journal of Information …, 2022 - Elsevier",Sin revista,Sin año,Elsevier,https://www.sciencedirect.com/science/article/pii/S2667096822000507,Citado por 19
[HTML][HTML] Smartphone-based platforms implementing microfluidic detection with image-based artificial intelligence,"B Wang, Y Li, M Zhou, Y Han, M Zhang, Z Gao… - Nature …, 2023 - nature.com",Sin revista,Sin año,nature.com,https://www.nature.com/articles/s41467-023-36017-x,Citado por 17
Machine learning-powered encrypted network traffic analysis: a comprehensive survey,"M Shen, K Ye, X Liu, L Zhu, J Kang… - … Surveys & Tutorials, 2022 - ieeexplore.ieee.org",Sin revista,Sin año,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9896143/,Citado por 16
[HTML][HTML] Machine learning and deep learning applications-a vision,"N Sharma, R Sharma, N Jindal - Global Transitions Proceedings, 2021 - Elsevier",Sin revista,Sin año,Elsevier,https://www.sciencedirect.com/science/article/pii/S2666285X21000042,Citado por 152
"Digital twin: Enabling technologies, challenges and open research","A Fuller, Z Fan, C Day, C Barlow - IEEE access, 2020 - ieeexplore.ieee.org",Sin revista,Sin año,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9103025/,Citado por 1177
